"Author","Quote"
"Альберт Эйнштейн","Мы не можем решать проблемы с помощью того же мышления, которое мы использовали, когда их создавали."
"Махатма Ганди","Учись так, будто тебе предстоит жить вечно, живи так, будто тебе предстоит умереть завтра."
"Марк Твен","Держитесь подальше от тех, кто пытается принизить ваши амбиции. Мелкие умы всегда будут это делать, но великие умы дадут вам почувствовать, что вы тоже можете стать великим."
"Уолтер Андерсон","Только когда мы идём на риск, наша жизнь становится лучше. Первый и самый трудный риск, на который мы должны пойти, — это стать честными."
"Уинстон Черчилль","Успех не окончателен, неудача не фатальна: главное — мужество продолжать."
"Герман Мелвилл","Лучше потерпеть неудачу в оригинальности, чем преуспеть в подражании."
"Дейл Карнеги","Успех обычно приходит к тем, кто слишком занят, чтобы искать его."
"Кэлвин Кулидж","Ничто в мире не может заменить упорство. Талант не поможет; нет ничего более распространённого, чем неудачники с талантом. Гений не поможет; невознаграждённый гений — почти пословица. Образование не поможет; в мире полно образованных неудачников. Лозунг «Продолжай в том же духе» решал и всегда будет решать проблемы человечества."
"Уинстон Черчилль","Пессимист видит трудности в каждой возможности. Оптимист видит возможность в каждой трудности."
"Александр Грэм Бэлл","Сосредоточьте все свои мысли на текущей работе. Солнечные лучи не обжигают, пока не сфокусируются."
"Эндрю Джексон","Один смелый человек составляет большинство."
"Дэвид Бринкли","Успешный человек — это тот, кто может построить прочный фундамент из кирпичей, которые бросают в него другие."
"Теодор Рузвельт","Смотри на звёзды, но не забывай о земле."
"Уоррен Баффет","Кто-то сегодня сидит в тени, потому что кто-то давным-давно посадил дерево."
"Альберт Эйнштейн","Жизнь похожа на езду на велосипеде. Чтобы сохранять равновесие, нужно двигаться."
"","Беспокойство - это злоупотребление воображением."
"Генри Форд","Когда кажется, что всё против вас, помните, что самолёт взлетает против ветра, а не вместе с ним."
"Джордж Аддер","Всё, чего вы когда-либо хотели, находится по другую сторону страха."
"Омар Хайям","Не хмурь бровей из-за ударов рока. Упавший духом гибнет раньше срока."
"Оноре де Бальзак","Чтобы дойти до цели, надо, прежде всего, идти"
"Конфуций","На самом деле жизнь проста, но мы настойчиво её усложняем."
"Жозе Моуринью","Не слушайте тех, кто велит играть на скрипке, когда вы отлично играете на барабанах."
"Агата Кристи","Умные не обижаются, а делают выводы."
"Михаил Жванецкий","Часто мы боремся с плесенью вместо того, чтобы бороться с сыростью."
"Рей Гофорт","Есть два вида людей, которые будут вам говорить, что вы не сможете чего-то добиться: те, кто сами боятся пробовать, и те, кто боятся, что у вас получится."
"Иммануил Кант","Наука — это организованные знания, мудрость — это организованная жизнь."
"Трумен Капоте","Неудача — это приправа, которая придает успеху её аромат."
"Далай Лама","Если вы на самом деле хотите что-то сделать, то вы найдете решение. Если вы не очень-то и хотите, то найдете оправдание."
"Латинская поговорка","Если нет ветра, беритесь за вёсла."